"12f4 -- 6. Buildings and dwellings, 2010-2024"

"Postal code area","2020 Dwellings in blocks of flats (RA)","2021 Dwellings in blocks of flats (RA)","2022 Dwellings in blocks of flats (RA)","2023 Dwellings in blocks of flats (RA)","2024 Dwellings in blocks of flats (RA)"
"31620  Latovainio (Jokioinen)",0,0,0,0,0
"31630  Minkiö (Jokioinen)",4,4,4,4,4
"31640  Humppila Keskus (Humppila)",232,232,232,232,232
"31650  Venäjänkangas (Humppila)",0,0,0,0,0
"31700  Urjala Asemanseutu-Hanhisuo (Urjala)",45,43,42,42,42
"31720  Urjalankylä-Kehro (Urjala)",11,11,11,11,11
"31730  Honkola (Urjala)",0,0,0,0,0
"31750  Kehro (Urjala)",0,0,0,0,0
"31760  Urjala Keskus (Urjala)",276,287,287,288,283
"31810  Oriniemi (Punkalaidun)",3,3,3,3,3
"31830  Halkivaha (Urjala)",0,0,0,0,0
"31850  Koskioinen (Punkalaidun)",0,0,0,0,0
"31860  Tursa (Urjala)",0,0,0,0,0
"31900  Punkalaidun Keskus (Punkalaidun)",125,125,124,115,117
"31930  Vanttila (Punkalaidun)",0,0,0,0,0
"31950  Sadonmaa (Punkalaidun)",0,0,0,0,0
"31960  Orisuo (Loimaa)",0,0,0,0,0
"31970  Kanteenmaa (Punkalaidun)",0,0,0,0,0
"32100  Ypäjä Keskus (Ypäjä)",97,101,101,101,100
"32140  Ypäjä Asemanseutu (Ypäjä)",0,0,0,0,0
"32200  Loimaa Keskus (Loimaa)",1857,1867,1860,1852,1859
"32210  Loimaa kk (Loimaa)",442,443,427,439,442
"32250  Kojonkulma (Loimaa)",0,0,0,0,0
"32260  Kojonperä (Loimaa)",0,0,0,0,0
"32270  Metsämaa-Murto (Loimaa)",6,6,6,6,6
"32280  Metsäkorpi (Loimaa)",0,0,0,0,0
"32300  Mellilä (Loimaa)",11,11,11,11,11
"32410  Niinijoki (Loimaa)",0,0,0,0,0
"32430  Ylhäinen (Loimaa)",0,0,0,0,0
"32440  Alastaro Keskus (Loimaa)",85,86,85,62,63
"32450  Tammiainen (Loimaa)",0,0,0,0,0
"32500  Oripää Keskus (Oripää)",46,48,46,47,55
"32520  Latva (Oripää)",0,0,0,0,0
"32560  Virttaa (Loimaa)",0,0,0,0,0
"32610  Vampula Keskus (Huittinen)",0,0,0,0,0
"32620  Rutava (Huittinen)",0,0,0,0,0
"32700  Huittinen Keskus (Huittinen)",1169,1164,1164,1167,1174
"32710  Sampu (Huittinen)",0,0,0,0,0
"32730  Keikyä (Sastamala)",5,5,5,5,5
"32740  Pehula (Sastamala)",161,158,161,160,161
"32760  Suttila (Huittinen)",0,0,0,0,0
"32770  Huhtamo (Huittinen)",0,0,0,0,0
"32800  Kokemäki Keskus (Kokemäki)",445,423,423,422,422
"32810  Peipohja (Kokemäki)",81,82,84,86,84
"32830  Riste (Kokemäki)",7,7,7,7,7
"32860  Korkeaoja (Kokemäki)",0,0,0,0,0
"32910  Kauvatsa Asemanseutu (Kokemäki)",3,3,3,3,3
"32920  Kauvatsa (Kokemäki)",8,8,8,8,8
"33100  Tampere Keskus (Tampere)",11497,11700,11915,11973,12210
"33180  Lapinniemi-Käpylä (Tampere)",1650,1723,2178,2527,2676
"33200  Tampere Keskus Läntinen (Tampere)",4834,4880,4977,5046,5074
"33210  Itä-Amuri-Tammerkoski (Tampere)",4348,4302,4496,4747,4751
"33230  Länsi-Amuri (Tampere)",3827,3838,3781,3830,3832
"33240  Tahmela (Tampere)",519,515,496,501,501
"33250  Pispala (Tampere)",1457,1649,1881,2360,2365
"33270  Epilä (Tampere)",2848,2870,2803,2808,2812
"33300  Rahola (Tampere)",1442,1455,1428,1428,1477
"33310  Tesoma (Tampere)",4205,4267,4230,4431,4439
"33330  Myllypuro-Kalkku (Tampere)",1328,1325,1322,1324,1324
"33340  Haukiluoma-Ikuri (Tampere)",933,932,931,933,933
"33400  Luoteis-Tampere (Tampere)",3520,3794,4035,4206,4357
"33410  Lentävänniemi (Tampere)",2798,2807,2807,2819,2821
"33420  Lamminpää (Tampere)",273,253,197,404,758
"33430  Vuorentausta (Ylöjärvi)",20,16,16,16,16
"33450  Siivikkala (Ylöjärvi)",3,3,3,3,3
"33470  Ylöjärvi Keskus (Ylöjärvi)",1933,1948,1987,1924,1925
"33480  Manninmäki-Haavisto (Ylöjärvi)",680,690,700,699,700
"33500  Osmonmäki-Petsamo (Tampere)",7314,7438,7509,7765,7765
"33520  Keskussairaala-alue-Kauppi (Tampere)",516,710,710,714,714
"33530  Kissanmaa (Tampere)",2412,2419,2377,2372,2452
"33540  Kaleva (Tampere)",7088,7255,7761,8158,8491
"33560  Takahuhti (Tampere)",3846,4069,4147,4197,4199
"33580  Atala-Linnainmaa (Tampere)",4209,4329,4307,4350,4382
"33610  Olkahinen-Tasanne (Tampere)",64,64,64,64,64
"33680  Aitolahti (Tampere)",2,2,2,0,0
"33700  Messukylä (Tampere)",326,330,312,310,311
"33710  Kaukajärvi (Tampere)",6649,6700,6754,6835,6948
"33720  Hervanta (Tampere)",14196,15050,15605,16460,16624
"33730  Leinola-Vehmainen (Tampere)",109,104,104,102,102
"33800  Nekala (Tampere)",2643,2672,2680,2674,2683
"33820  Koivistonkylä (Tampere)",1846,1868,2002,2120,2124
"33840  Peltolammi (Tampere)",1737,1767,1763,1761,1763
"33850  Multisilta (Tampere)",1442,1447,1445,1447,1516
"33870  Vuores (Tampere)",2714,2985,3180,3285,3298
"33880  Höytämö (Lempäälä)",649,648,648,648,649
"33900  Härmälä-Rantaperkiö (Tampere)",7408,7881,8240,8381,8611
"33920  Toivio (Pirkkala)",6,5,5,5,5
"33950  Killo (Pirkkala)",1818,1831,1919,2018,2139
"33960  Suuppa (Pirkkala)",2073,2272,2326,2609,2685
"33980  Pirkkala kk (Pirkkala)",6,6,6,5,5
"34110  Lakiala (Ylöjärvi)",4,4,4,0,0
"34130  Ylinen (Ylöjärvi)",148,149,149,129,131
"34140  Mutala (Ylöjärvi)",11,11,12,12,12
"34150  Kyrönlahti (Ylöjärvi)",0,0,0,0,0
"34180  Länsi-Teisko (Ylöjärvi)",3,3,3,3,3
"34240  Kämmenteisko (Tampere)",7,8,9,8,8
"34260  Terälahti (Tampere)",36,60,58,59,58
"34270  Velaatta (Tampere)",7,7,7,0,0
"34300  Kuru Keskus (Ylöjärvi)",84,89,89,88,89
"34320  Parkkuu (Ylöjärvi)",0,0,0,0,0
"34330  Poikelus (Ylöjärvi)",0,0,0,0,0
"34410  Murole (Ruovesi)",0,0,0,0,0
"34420  Muroleen Kanava (Ruovesi)",0,0,0,0,0
"34430  Kekkonen (Ruovesi)",0,0,0,0,0
"34450  Jäminkipohja (Ruovesi)",82,82,54,54,54
"34510  Luode (Ylöjärvi)",0,0,0,0,0
"34530  Länsi-Aure (Ylöjärvi)",0,0,0,0,0
"34550  Itä-Aure (Ylöjärvi)",0,0,0,0,0
"34600  Ruovesi Keskus-Nenonen (Ruovesi)",391,391,375,373,381
"34640  Mustajärvi (Ruovesi)",2,2,2,2,2
"34710  Vaskivesi (Virrat)",0,0,0,0,0
"34730  Vaskuu (Virrat)",0,0,0,0,0
"34740  Koro (Virrat)",0,0,0,0,0
"34770  Kurjenkylä (Virrat)",0,0,0,0,0
"34800  Virrat Keskus (Virrat)",900,859,848,853,868
"34870  Visuvesi (Ruovesi)",78,78,78,78,78
"34910  Äijänneva (Virrat)",0,0,0,0,0
"34930  Liedenpohja (Virrat)",0,0,0,0,0
"34950  Ohtola (Virrat)",1,1,1,1,1
"34970  Toisvesi (Virrat)",0,0,0,0,0
"34980  Killinkoski (Virrat)",73,76,64,62,62
"35100  Orivesi Asemanseutu (Orivesi)",115,115,113,112,115
"35220  Eräjärvi (Orivesi)",1,1,1,1,1
"35240  Ristakallio (Orivesi)",0,0,0,0,0
"35260  Leväslahti (Orivesi)",...,...,...,...,...
"35270  Västilä (Orivesi)",0,0,0,0,0
"35300  Orivesi Keskus (Orivesi)",1024,1023,1020,1019,1008
"35320  Hirsilä (Orivesi)",3,3,3,3,3
"35400  Länkipohja (Jämsä)",89,91,91,84,84
"35420  Talviainen (Orivesi)",0,0,0,0,0
"35480  Längelmäki (Orivesi)",11,11,3,3,3
"35500  Korkeakoski (Juupajoki)",84,84,84,84,86
"35520  Pirttikangas (Juupajoki)",0,0,0,0,0
"35530  Lyly (Juupajoki)",31,31,31,31,15
"35540  Juupajoki (Juupajoki)",0,0,0,0,0
"35550  Salokunta (Juupajoki)",0,0,0,0,0
"35600  Halli (Jämsä)",118,110,110,110,110
"35610  Pihlaisto (Jämsä)",0,0,0,0,0
"35630  Suinula-Valkamanperä (Jämsä)",0,0,0,0,0
"35700  Vilppula Keskus (Mänttä-Vilppula)",467,467,457,460,467
"35740  Ylä-Vääri (Ruovesi)",0,0,0,0,0
"35750  Väärinmaja (Ruovesi)",0,0,0,0,0
"35800  Mänttä (Mänttä-Vilppula)",1570,1570,1560,1532,1540
"35820  Asemakulma-Mustalahti (Mänttä-Vilppula)",319,320,321,318,321
"35990  Kolho (Mänttä-Vilppula)",49,49,49,49,49
"36100  Kangasala Asemanseutu (Kangasala)",0,0,0,0,0
"36110  Ruutana (Kangasala)",20,20,20,20,20
"36120  Suinula-Haviseva (Kangasala)",7,7,7,7,7
"36200  Kangasala Keskus (Kangasala)",2367,2448,2491,2498,2580
"36220  Suorama (Kangasala)",1508,1627,1626,1627,1705
"36240  Vatiala (Kangasala)",1128,1133,1237,1598,1839
"36270  Huutijärvi (Kangasala)",117,117,116,116,118
"36280  Pikonlinna (Kangasala)",44,44,44,44,44
"36340  Tohkala (Kangasala)",0,0,0,0,0
"36420  Sahalahti Keskus (Kangasala)",108,108,108,106,82
"36430  Pakkala (Kangasala)",6,0,0,0,0
"36450  Salmentaka (Pälkäne)",2,2,2,2,2
"36520  Raikku (Kangasala)",0,0,0,0,0
"36570  Kaivanto (Kangasala)",6,6,3,3,0
"36600  Pälkäne Keskus (Pälkäne)",281,285,282,285,285
"36640  Iltasmäki (Pälkäne)",0,0,0,0,0
"36660  Laitikkala (Pälkäne)",0,0,0,0,0
"36720  Aitoo (Pälkäne)",8,8,8,8,8
"36760  Luopioinen Keskus (Pälkäne)",16,16,18,18,22
"36810  Kuhmalahti Keskus (Kangasala)",5,5,5,1,1
"36840  Kuhmajärvi (Kangasala)",3,3,3,3,3
"36880  Vehkajärvi (Kangasala)",0,0,0,0,0
"36910  Rautajärvi (Pälkäne)",14,14,15,15,15
"36930  Kyynärö (Pälkäne)",0,0,0,0,0
"37100  Nokia Keskus (Nokia)",3618,4029,4210,4765,4902
"37120  Koskenmäki (Nokia)",1533,1537,1536,1531,1575
"37130  Alhoniitty (Nokia)",557,551,551,549,565
"37140  Harjuniitty (Nokia)",144,143,142,143,143
"37150  Kankaantaka (Nokia)",734,732,730,731,731
"37180  Sarkola (Nokia)",0,0,0,0,0
"37200  Siuro (Nokia)",144,144,142,144,144
"37210  Kulovesi (Nokia)",0,0,0,0,0
"37240  Linnavuori (Nokia)",187,188,191,188,184
"37310  Tottijärvi (Nokia)",0,0,0,0,0
"37350  Rämsöö (Vesilahti)",0,0,0,0,0
"37370  Narva (Vesilahti)",14,14,13,15,14
"37380  Krääkkiö (Vesilahti)",0,0,0,0,0
"37420  Valkkinen (Vesilahti)",0,0,0,0,0
"37470  Vesilahti Keskus (Vesilahti)",8,8,8,8,8
"37500  Lempäälä Keskus (Lempäälä)",1943,2065,2259,2333,2294
"37530  Säijä (Lempäälä)",0,0,0,0,0
"37550  Kuivaspää (Lempäälä)",217,217,217,217,217
"37560  Kulju (Lempäälä)",64,64,64,63,63
"37570  Koivuniemi (Lempäälä)",0,0,0,0,0
"37600  Valkeakoski Keskus (Valkeakoski)",3694,3637,3646,3640,3692
"37630  Vääräkoivu (Valkeakoski)",1691,1692,1684,1689,1691
"37700  Sääksmäki (Valkeakoski)",0,0,0,0,0
"37720  Ritvala (Valkeakoski)",4,4,4,4,4
"37740  Haukila (Valkeakoski)",0,0,0,0,0
"37770  Tarttila (Valkeakoski)",0,0,0,0,0
"37800  Toijala keskus (Akaa)",1711,1719,1758,1761,1791
"37830  Viiala Keskus (Akaa)",709,683,677,683,682
"37850  Metsäkansa (Valkeakoski)",0,0,0,0,0
"37860  Kärjenniemi (Valkeakoski)",2,2,2,2,2
"37900  Kylmäkoski Asemanseutu (Akaa)",0,0,0,0,0
"37910  Kylmäkoski Keskus (Akaa)",0,0,0,0,0
"37960  Sotkia (Akaa)",0,0,0,0,0
"38100  Karkku (Sastamala)",14,14,14,14,14
"38120  Kutala (Sastamala)",7,7,7,7,7
"38130  Ellivuori (Sastamala)",...,...,...,...,...
"38140  Kärppälä (Sastamala)",0,0,0,0,0
"38200  Vammala Keskus (Sastamala)",2173,2133,2141,2126,2129
"38210  Vammala Asemanseutu (Sastamala)",756,752,745,739,745
"38220  Stormi (Sastamala)",10,10,10,10,10
"38250  Roismala (Sastamala)",20,20,20,20,20
"38270  Sammaljoki (Sastamala)",5,5,5,5,5
"38280  Illo (Sastamala)",2,2,2,0,0
"38300  Kiikka (Sastamala)",42,41,43,42,42
"38360  Kiikoinen (Sastamala)",6,6,6,6,6
"38420  Häijää (Sastamala)",0,0,0,0,0
"38460  Mouhijärvi Keskus (Sastamala)",25,25,25,25,25
"38470  Hyynilä (Sastamala)",0,0,0,0,0
"38490  Haukijärvi (Hämeenkyrö)",0,0,0,0,0
"38510  Suodenniemi (Sastamala)",5,5,5,5,5
"38600  Lavia Keskus (Pori)",70,67,67,67,67
"38650  Yli-Putto (Pori)",0,0,0,0,0
"38670  Kalliala-Haunia (Pori)",0,0,0,0,0
"38680  Tuunajärvi (Pomarkku)",0,0,0,0,0
"38700  Kankaanpää Keskus (Kankaanpää)",1029,991,1013,1001,1018
"38710  Myllymäki (Kankaanpää)",434,435,432,424,433
"38720  Vihteljärvi (Kankaanpää)",0,0,0,0,0
"38740  Hapuoja (Kankaanpää)",0,0,0,0,0
"38750  Veneskoski (Kankaanpää)",0,0,0,0,0
"38760  Venesjärvi (Kankaanpää)",1,1,1,1,1
"38770  Lohikko (Kankaanpää)",0,0,0,0,0
"38800  Jämijärvi Keskus (Jämijärvi)",50,51,51,49,50
"38840  Niinisalo (Kankaanpää)",113,105,105,105,105
"38860  Suurimaa (Jämijärvi)",0,0,0,0,0
"38910  Ala-Honkajoki (Kankaanpää)",0,0,0,0,0
"38920  Vatajankoski (Kankaanpää)",4,4,4,4,4
"38950  Honkajoki Keskus (Kankaanpää)",9,9,9,9,9
"38970  Lauhala (Kankaanpää)",0,0,0,0,0
"39100  Hämeenkyrö Keskus (Hämeenkyrö)",334,336,336,337,337
"39110  Simuna (Hämeenkyrö)",0,0,0,0,0
"39130  Sasi (Hämeenkyrö)",2,2,2,2,2
"39150  Pinsiö (Hämeenkyrö)",0,0,0,0,0
"39160  Julkujärvi (Ylöjärvi)",9,9,9,8,8
"39170  Jumesniemi (Hämeenkyrö)",0,0,0,0,0
"39180  Herttuala (Hämeenkyrö)",0,0,0,0,0
"39195  Kaipio (Hämeenkyrö)",0,0,0,0,0
"39200  Kyröskoski (Hämeenkyrö)",466,468,468,476,512
"39230  Osara (Hämeenkyrö)",0,0,0,0,0
"39290  Vesajärvi (Hämeenkyrö)",0,0,0,0,0
"39310  Viljakkala Keskus (Ylöjärvi)",0,0,0,0,0
"39340  Karhe (Ylöjärvi)",0,0,0,0,0
"39360  Komi (Ylöjärvi)",0,0,0,0,0
"39380  Lavajärvi (Hämeenkyrö)",2,2,2,2,2
"39410  Luhalahti (Ikaalinen)",2,9,9,9,9
"39430  Röyhiö (Ikaalinen)",0,0,0,0,0
"39450  Sisättö (Ikaalinen)",0,0,0,0,0
"39500  Ikaalinen Keskus (Ikaalinen)",993,997,992,995,1007
"39530  Kilvakkala (Ikaalinen)",0,0,0,0,0
"39580  Riitiala (Ikaalinen)",0,0,0,0,0
"39590  Tevaniemi (Ikaalinen)",4,5,4,4,4
"39610  Kovelahti (Ikaalinen)",0,0,0,0,0
"39620  Kovesjoki (Parkano)",2,0,0,0,0
"39660  Lapinneva (Parkano)",3,3,3,3,3
"39700  Parkano Keskus (Parkano)",809,812,804,806,813
"39750  Vatajanjärvi (Parkano)",0,0,0,0,0
"39770  Aureskoski (Parkano)",0,0,0,0,0
"39780  Alaskylä (Parkano)",0,0,0,0,0
"39810  Linnankylä (Kihniö)",0,0,0,0,0
"39820  Kihniö Keskus (Kihniö)",19,20,20,19,20
"39880  Kihniö Asemanseutu (Kihniö)",1,1,1,1,1
"39920  Suomijärvi (Karvia)",0,0,0,0,0
"39930  Karvia Keskus (Karvia)",42,41,42,52,52
"39940  Kantti (Karvia)",0,0,0,0,0
"39960  Sarvela (Karvia)",0,0,0,0,0
"39965  Karviankylä (Karvia)",0,0,0,0,0
"39980  Sara (Karvia)",0,0,0,0,0
"39990  Alkkia (Karvia)",0,0,0,0,0
"40100  Jyväskylä Keskus (Jyväskylä)",12042,12342,12618,12741,12996
"40200  Mannila-Taulumäki (Jyväskylä)",2097,2062,2091,2084,2084
"40250  Ritoniemi-Lohikoski (Jyväskylä)",1190,1204,1203,1203,1228
"40270  Palokka (Jyväskylä)",2452,2642,2751,2909,2928
"40320  Seppälän Teollisuusalue (Jyväskylä)",2280,2284,2376,2466,2467
"40340  Huhtasuo (Jyväskylä)",3745,3818,3868,3877,3912
"40400  Halssila (Jyväskylä)",966,953,967,968,972
"40420  Jyskä (Jyväskylä)",890,938,964,991,992
"40500  Keljo-Ristonmaa (Jyväskylä)",1450,1477,1536,1603,1610
"40520  Kuokkala-Ristikivi (Jyväskylä)",7411,7607,7755,7833,8024
"40530  Keljonkangas (Jyväskylä)",972,1077,1138,1140,1142
"40600  Mattilanpelto (Jyväskylä)",982,1006,1005,1038,1039
"40620  Keskussairaala-alue-Kukkumäki (Jyväskylä)",325,329,327,324,330
"40630  Kypärämäki (Jyväskylä)",957,956,952,986,991
"40640  Keltinmäki (Jyväskylä)",2562,2534,2520,2521,2531
"40660  Länsi-Palokka (Jyväskylä)",0,0,0,0,0
"40700  Mäki-Matti (Jyväskylä)",3741,3749,4009,4125,4134
"40720  Nisula (Jyväskylä)",1569,1652,1683,1683,1686
"40740  Kortepohja (Jyväskylä)",4758,4920,4908,4924,4945
"40800  Vaajakoski (Jyväskylä)",1687,1660,1658,1697,1699
"40820  Vuoritsalo (Jyväskylä)",349,349,349,349,349
"40900  Säynätsalo (Jyväskylä)",656,646,642,644,643
"40930  Kinkomaa (Muurame)",128,129,129,129,126
"40950  Muurame Keskus (Muurame)",924,924,921,983,965
"41120  Puuppola (Jyväskylä)",28,20,20,20,21
"41140  Kuikka (Jyväskylä)",0,0,0,0,0
"41160  Tikkakoski (Jyväskylä)",663,662,662,642,644
"41180  Vehniä (Laukaa)",0,0,0,0,0
"41210  Jokihaara (Uurainen)",0,0,0,0,0
"41220  Höytiä (Uurainen)",0,0,0,0,0
"41230  Uurainen Keskus (Uurainen)",48,48,51,59,57
"41240  Kyynämöinen (Uurainen)",0,0,0,0,0
"41260  Hoikankylä (Saarijärvi)",3,3,3,0,0
"41270  Lannevesi (Saarijärvi)",0,0,0,0,0
"41290  Kangashäkki (Uurainen)",0,0,0,0,0
"41310  Leppävesi (Laukaa)",0,0,0,0,0
"41325  Laukkavirta (Laukaa)",0,0,0,5,5
"41330  Vihtavuori (Laukaa)",135,135,135,133,134
"41340  Laukaa Keskus (Laukaa)",829,862,894,897,900
"41350  Laukaa Asemanseutu (Laukaa)",44,4,4,4,4
"41360  Valkola (Laukaa)",0,0,0,0,0
"41370  Kuusa (Laukaa)",0,0,0,0,0
"41390  Äijälä (Laukaa)",0,0,0,0,0
"41400  Lievestuore (Laukaa)",138,108,108,100,90
"41410  Kankainen (Toivakka)",0,0,0,0,0
"41440  Ruuhimäki (Toivakka)",0,0,0,0,0
"41450  Leppälahti (Jyväskylä)",0,0,0,0,0
"41490  Niemisjärvi (Hankasalmi)",5,5,5,5,5
"41500  Hankasalmi Asemanseutu (Hankasalmi)",118,118,117,117,118
"41520  Hankasalmi Keskus (Hankasalmi)",10,10,10,10,10
"41530  Veneranta (Hankasalmi)",0,0,0,0,0
"41540  Ristimäki (Hankasalmi)",0,0,0,0,0
"41550  Hannula (Hankasalmi)",2,2,2,2,2
"41560  Säkinmäki (Hankasalmi)",0,0,0,0,0
"41580  Sauvamäki (Hankasalmi)",0,0,0,0,0
"41630  Oravasaari (Jyväskylä)",0,0,0,0,0
"41660  Toivakka Keskus (Toivakka)",0,0,0,0,0
"41710  Rutalahti-Kivisuo (Jyväskylä)",0,0,0,0,0
"41730  Kivisuo (Joutsa)",0,0,0,0,0
"41750  Havumäki (Joutsa)",0,0,0,0,0
"41770  Leivonmäki (Joutsa)",0,0,0,0,0
"41800  Korpilahti Keskus (Jyväskylä)",253,252,260,268,269
"41820  Saakoski (Jyväskylä)",0,0,0,0,0
"41840  Moksi (Jyväskylä)",0,0,0,0,0
"41860  Rannila (Jyväskylä)",1,1,0,0,0
"41870  Putkilahti (Jyväskylä)",4,4,4,4,4
"41880  Oittila (Jyväskylä)",0,0,0,0,0
"41900  Petäjävesi Keskus (Petäjävesi)",182,183,183,182,184
"41920  Kintaus (Petäjävesi)",0,0,0,0,1
"41925  Ylä-Kintaus (Petäjävesi)",0,0,0,0,0
"41930  Kuohu (Jyväskylä)",0,0,0,0,0
"41940  Vesanka (Jyväskylä)",0,3,3,3,3
"41970  Huttula (Keuruu)",0,0,0,0,0
"41980  Kuivasmäki (Petäjävesi)",0,0,0,0,0
"42100  Jämsä Keskus (Jämsä)",2227,2216,2188,2201,2200
"42140  Juokslahti (Jämsä)",3,3,3,2,3
"42220  Kaipola (Jämsä)",243,242,242,240,242
"42300  Jämsänkoski Keskus (Jämsä)",987,933,920,919,933
"42330  Haavisto (Jämsä)",2,2,2,2,2
"42440  Koskenpää (Jämsä)",15,15,15,15,15
"42520  Asunta (Keuruu)",0,0,0,0,0
"42560  Pohjoisjärvi (Keuruu)",0,0,0,0,0
"42600  Multia Keskus-Väätäiskylä (Multia)",36,35,35,35,36
"42660  Sahrajärvi (Multia)",0,0,0,0,0
"42700  Keuruu Keskus (Keuruu)",1949,1947,1866,1885,1889
"42800  Haapamäki (Keuruu)",141,141,133,136,138
"42820  Riiho (Keuruu)",0,0,0,0,0
"42830  Ylä-Kolkki (Mänttä-Vilppula)",0,0,0,0,0
"42840  Kolkki (Mänttä-Vilppula)",0,0,0,0,0
"42850  Pohjaslahti (Mänttä-Vilppula)",8,8,8,8,8
"42870  Kotala (Virrat)",0,0,0,0,0
"42910  Pihlajavesi (Keuruu)",7,7,7,7,7
"42930  Katajamäki (Keuruu)",0,0,0,0,0
"43100  Saarijärvi Keskus (Saarijärvi)",1058,1054,1051,1058,1062
"43130  Tarvaala (Saarijärvi)",0,0,0,0,0
"43170  Häkkilä (Saarijärvi)",0,0,0,0,0
"43220  Mahlu (Saarijärvi)",3,3,3,3,3
"43240  Lehtola (Saarijärvi)",0,0,0,0,0
"43250  Kolkanlahti (Saarijärvi)",0,0,0,0,0
"43270  Kalmari (Saarijärvi)",10,10,10,10,10
"43300  Kannonkoski Keskus (Kannonkoski)",10,9,10,9,9
"43340  Kannonjärvi (Kannonkoski)",0,0,0,0,0
"43390  Lokakylä (Kivijärvi)",0,0,0,0,0
"43420  Kukko (Saarijärvi)",0,0,0,0,0
"43430  Väätäiskylä (Multia)",2,2,2,2,2
"43440  Pylkönmäki Keskus (Saarijärvi)",4,4,4,4,4
"43480  Pääjärvi (Saarijärvi)",0,0,0,0,0
"43490  Kangasaho (Karstula)",0,0,0,0,0
"43500  Karstula Keskus (Karstula)",105,105,104,102,105
"43520  Kiminki (Karstula)",0,0,0,0,0
"43540  Rantakylä-Pirttilahti (Karstula)",0,0,0,0,0
"43560  Vahanka (Karstula)",0,0,0,0,0
"43610  Aho (Karstula)",0,0,0,0,0
"43640  Humppi (Karstula)",0,0,0,0,0
"43660  Vastinki (Karstula)",0,0,0,0,0
"43700  Kyyjärvi Keskus (Kyyjärvi)",10,10,10,9,10
"43720  Kumpulainen (Kyyjärvi)",0,0,0,0,0
"43800  Kivijärvi Keskus-Sompala (Kivijärvi)",58,56,57,56,57
"43840  Sompala (Kivijärvi)",0,0,0,0,0
"43900  Kinnula Keskus (Kinnula)",6,6,6,7,7
"43940  Muhola-Saarensalmi (Kinnula)",0,0,0,0,0
"43960  Saarensalmi (Kinnula)",0,0,0,0,0
"44100  Äänekoski Keskus (Äänekoski)",1862,1864,1865,1871,1875
"44120  Mämmensalmi-Mustaniemi (Äänekoski)",84,85,85,91,92
"44150  Likolahti-Karhunlähde (Äänekoski)",765,768,763,764,769
"44160  Huutomäki (Äänekoski)",8,8,8,8,8
"44170  Hietama (Äänekoski)",0,0,0,0,0
"44190  Parantala (Äänekoski)",0,0,0,0,0
"44200  Suolahti Keskus (Äänekoski)",1075,1055,1044,1050,1050
"44220  Sörkänmäki (Äänekoski)",1,1,1,1,2
"44250  Äänekoivisto (Äänekoski)",0,0,0,0,0
"44260  Vihijärvi (Äänekoski)",0,0,0,0,0
"44280  Sumiainen Keskus (Äänekoski)",0,0,0,0,0
"44300  Konnevesi Keskus (Konnevesi)",74,74,73,74,75
"44320  Sirkkamäki (Konnevesi)",0,0,0,0,0
"44330  Hytölä (Konnevesi)",3,3,3,3,3
"44350  Istunmäki (Konnevesi)",5,5,5,5,5
"44370  Mäntymäki (Konnevesi)",0,0,0,0,0
"44400  Konginkangas Keskus (Äänekoski)",25,25,25,25,24
"44420  Liimattala (Äänekoski)",0,0,0,0,0
"44440  Räihä (Äänekoski)",0,0,0,0,0
"44460  Kalaniemi (Äänekoski)",0,0,0,0,0
"44480  Niinilahti (Viitasaari)",3,3,3,3,3
"44500  Viitasaari Keskus (Viitasaari)",926,931,926,933,935
"44530  Ilmolahti (Viitasaari)",0,0,0,0,0
"44580  Huopanankoski (Viitasaari)",0,0,0,0,0
"44590  Vuorilahti (Viitasaari)",0,0,0,0,0
"44610  Kärnä (Viitasaari)",0,0,0,0,0
"44630  Kumpumäki (Viitasaari)",0,0,0,0,0
"44640  Kymönkoski (Viitasaari)",0,0,0,0,0
"44670  Suovanlahti (Viitasaari)",0,0,0,0,0
"44680  Lahnanen (Viitasaari)",0,0,0,0,0
"44730  Löytänä (Viitasaari)",0,0,0,0,0
"44740  Keitelepohja-Kotvala (Viitasaari)",0,0,0,0,0
"44760  Keihärinkoski (Viitasaari)",0,0,0,0,0
"44770  Valkeisjärvi (Viitasaari)",...,...,...,...,...
"44790  Kotvala (Viitasaari)",0,0,0,0,0
"44800  Pihtipudas Keskus (Pihtipudas)",99,96,93,95,95
"44860  Alvajärvi (Pihtipudas)",0,0,0,0,0
"44880  Muurasjärvi (Pihtipudas)",0,0,0,0,0
"44910  Elämäjärvi (Pihtipudas)",0,0,0,0,0
"44920  Peninki (Pihtipudas)",0,0,0,0,0
"44950  Kärväsjärvi (Pihtipudas)",0,0,0,0,0
"44970  Korppinen (Pihtipudas)",0,0,0,0,0
"45100  Kouvola Keskus (Kouvola)",4017,4026,4022,4047,4115
"45120  Kotkankallio-Vahteronmäki (Kouvola)",281,281,275,271,273
"45130  Korjala-Kaunisnurmi (Kouvola)",859,860,859,862,863
"45150  Kankaronmäki-Eskolanmäki (Kouvola)",1543,1548,1551,1549,1569
"45160  Lehtomäki (Kouvola)",2041,2043,2042,2035,2042
"45200  Tornionmäki (Kouvola)",2531,2537,2533,2526,2538
"45330  Harju (Kouvola)",0,0,0,0,0
"45360  Kukkuramäki (Kouvola)",206,207,206,207,208
"45370  Valkeala kk (Kouvola)",214,214,225,227,227
"45410  Utti (Kouvola)",20,21,21,20,21
"45460  Savero (Kouvola)",0,0,0,0,0
